,Area_of_Origin,Business_Impact,Civilian_Casualties,Count_of_Persons_Rescued,Estimated_Dollar_Loss,Estimated_Number_Of_Persons_Displaced,Ext_agent_app_or_defer_time,Extent_Of_Fire,Fire_Alarm_System_Impact_on_Evacuation,Fire_Alarm_System_Operation,Fire_Under_Control_Time,Ignition_Source,Incident_Station_Area,Incident_Ward,Last_TFS_Unit_Clear_Time,lat,long,Material_First_Ignited,Method_Of_Fire_Control,Possible_Cause,Property_Use,Smoke_Alarm_at_Fire_Origin_Alarm_Failure,Smoke_Alarm_at_Fire_Origin_Alarm_Type,Status_of_Fire_On_Arrival,TFS_Alarm_Time,TFS_Arrival_Time,Fire_Alarm_System_Presence_(Refactored)
502,Other - unclassified,Not applicable (not a business),0,0,5000,0,2018-02-27T15:04:36,Confined to object of origin,Undetermined,Not applicable (no system),2018-02-27T15:07:09,Other,431,3.0,2018-02-27T16:10:16,43.65190782,-79.51200178,Insulation,Extinguished by fire department,"Other unintentional cause, not classified",Detached Dwelling,Not applicable: Alarm operated OR presence/operation undetermined,Not applicable - no smoke alarm or presence undetermined,Fire with no evidence from street,2018-02-27T14:56:29,2018-02-27T15:01:15,Not applicable
503,"Trash, rubbish area (outside)",No business interruption,0,0,4000,0,2018-02-27T15:34:45,Confined to part of room/area of origin,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),2018-02-27T15:45:10,"Hot Ashes, Embers, Spark",422,4.0,2018-02-27T16:34:41,43.65616418,-79.4951716,Exterior Cladding,Extinguished by fire department,"Other unintentional cause, not classified",Detached Dwelling,Not applicable: Alarm operated OR presence/operation undetermined,Not applicable - no smoke alarm or presence undetermined,"Flames showing from small area (one storey or less, part of a vehicle, outdoor)",2018-02-27T15:28:51,2018-02-27T15:31:14,Not applicable
504,Cooking Area or Kitchen,Not applicable (not a business),0,0,50,0,2018-02-27T16:46:00,Confined to object of origin,Not applicable: Occupant(s) first alerted by other means,Fire alarm system operated,2018-02-27T16:45:00,"Other Cooking Items (eg Toaster, Kettle, elec frying pan)",412,1.0,2018-02-27T16:55:46,43.72375215,-79.61692945,Other,Extinguished by occupant,Undetermined,Multi-Unit Dwelling - Over 12 Units,Not applicable: Alarm operated OR presence/operation undetermined,Interconnected,Fire extinguished prior to arrival,2018-02-27T16:34:52,2018-02-27T16:39:39,Present
505,Cooking Area or Kitchen,Not applicable (not a business),0,0,2000,0,2018-01-10T07:30:56,Confined to part of room/area of origin,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),2018-01-10T07:30:56,"Stove, Range-top burner",413,1.0,2018-01-10T07:55:44,43.7361141,-79.57552614,"Cooking Oil, Grease",Extinguished by occupant,"Other unintentional cause, not classified",Semi-Detached Dwelling,Remote from fire – smoke did not reach alarm,Battery operated,Fire extinguished prior to arrival,2018-01-10T07:24:26,2018-01-10T07:29:36,No System
506,Laundry Area,No business interruption,0,0,100,0,2018-01-12T09:29:55,Confined to object of origin,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),2018-01-12T09:30:00,Other Heating Equipment,141,6.0,2018-01-12T09:50:52,43.7722115,-79.47250632,Linen Other than Bedding,Extinguished by occupant,"Other unintentional cause, not classified",Other Business or Personal Services,Not applicable: Alarm operated OR presence/operation undetermined,Not applicable - no smoke alarm or presence undetermined,Fire extinguished prior to arrival,2018-01-12T09:24:32,2018-01-12T09:29:50,No System
507,Other Outside Area,Undetermined,0,0,300000,0,2018-01-15T10:30:56,Confined to object of origin,Undetermined,Not applicable (no system),2018-01-15T11:07:08,Vehicle - Mechanical,221,20.0,2018-01-15T11:11:29,43.73265103,-79.24636249,Vehicle,Extinguished by fire department,"Other unintentional cause, not classified",Mfg: Asphalt Products,Not applicable: Alarm operated OR presence/operation undetermined,Not applicable - no smoke alarm or presence undetermined,"Fire with smoke showing only - including vehicle, outdoor fires",2018-01-15T10:24:27,2018-01-15T10:28:34,Undetermined
508,"Trash, Rubbish Storage (inc garbage chute room, garbage/industri",No business interruption,0,0,1000,0,2018-01-01T17:09:32,Confined to object of origin,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),2018-01-01T17:20:04,Undetermined,221,20.0,2018-01-01T17:49:34,43.72738999,-79.25263025,"Rubbish, Trash, Waste",Extinguished by fire department,Suspected Arson,Multi-Unit Dwelling - Over 12 Units,Not applicable: Alarm operated OR presence/operation undetermined,Not applicable - no smoke alarm or presence undetermined,"Flames showing from small area (one storey or less, part of a vehicle, outdoor)",2018-01-01T17:00:08,2018-01-01T17:06:14,No System
509,"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",Not applicable (not a business),0,0,500,0,2018-01-23T19:26:19,Confined to object of origin,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),2018-01-23T19:28:23,Matches (open flame),331,10.0,2018-01-23T19:49:29,43.64497329,-79.41507588,"Books, Magazines, Newspapers",Extinguished by occupant,Suspected Vandalism,Rooming/Boarding/Lodging House,Not applicable: Alarm operated OR presence/operation undetermined,Type undetermined,Fire extinguished prior to arrival,2018-01-23T19:22:33,2018-01-23T19:25:29,No System
510,Roof,No business interruption,0,0,0,0,2018-03-14T22:11:08,Confined to part of room/area of origin,Not applicable: Occupant(s) first alerted by other means,Fire alarm system did not operate,2018-03-14T22:11:58,Undetermined,223,20.0,2018-03-14T22:35:05,43.74046498,-79.22323118,Exterior Roof Covering,Extinguished by fire department,Used or Placed too close to combustibles,Multi-Unit Dwelling - Over 12 Units,Not applicable: Alarm operated OR presence/operation undetermined,Hardwired (standalone),"Flames showing from small area (one storey or less, part of a vehicle, outdoor)",2018-03-14T21:53:53,2018-03-14T21:58:57,Present
511,Laundry Area,Undetermined,0,0,100000,8,2018-03-15T01:04:00,"Spread beyond room of origin, same floor","Not applicable: No fire alarm system, no persons present",Not applicable (no system),2018-03-15T01:20:00,Clothes Dryer,244,22.0,2018-03-15T03:23:47,43.78094719,-79.30899758,Other,Extinguished by fire department,Electrical Failure,Semi-Detached Dwelling,Not applicable: Alarm operated OR presence/operation undetermined,Battery operated,"Fire with smoke showing only - including vehicle, outdoor fires",2018-03-15T00:53:53,2018-03-15T00:59:33,No System
512,Laundry Area,Not applicable (not a business),1,0,500,2,2018-03-15T03:39:39,Confined to object of origin,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),2018-03-15T03:42:10,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",224,19.0,2018-03-15T04:13:41,43.68430949,-79.31221331,"Fabric - Synthetic, Combination",Extinguished by fire department,Other misuse of ignition source/material ignited,Detached Dwelling,Not applicable: Alarm operated OR presence/operation undetermined,Battery operated,Fire with no evidence from street,2018-03-15T03:27:36,2018-03-15T03:33:40,No System
513,"Washroom or Bathroom (toilet,restroom/locker room)",May resume operations within a week,0,0,35000,4,2018-03-15T06:35:03,Confined to part of room/area of origin,Not applicable: Occupant(s) first alerted by other means,Not applicable (no system),2018-03-15T06:51:58,Space Heater - Fixed,342,9.0,2018-03-15T08:57:41,43.67419501,-79.46001799,Interior Wall/Ceiling,Extinguished by fire department,Electrical Failure,"Apartment, Flat, Tenement with Business",Dead battery,Battery operated,Fire with no evidence from street,2018-03-15T06:25:38,2018-03-15T06:30:59,Not applicable
514,"Stairway, Escalator",No business interruption,0,0,400,0,2018-03-20T06:55:30,Confined to object of origin,No one (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2018-03-20T06:55:00,Other Electrical Distribution Item,333,13.0,2018-03-20T07:13:42,43.65040749,-79.37847007,Interior Wall/Ceiling,Extinguished by fire department,Electrical Failure,Multi-Unit Dwelling - Over 12 Units,Not applicable: Alarm operated OR presence/operation undetermined,Hardwired (standalone),"Flames showing from small area (one storey or less, part of a vehicle, outdoor)",2018-03-20T06:46:55,2018-03-20T06:50:58,Present
515,"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",May resume operations within a month,1,0,100000,4,2018-03-20T09:01:02,"Spread beyond room of origin, same floor","Not applicable: No fire alarm system, no persons present",Not applicable (no system),2018-03-20T09:19:12,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",323,14.0,2018-03-20T14:21:28,43.67486444,-79.32132429,Undetermined (formerly 98),Extinguished by fire department,Improperly Discarded,"Apartment, Flat, Tenement with Business",Not applicable: Alarm operated OR presence/operation undetermined,Not applicable - no smoke alarm or presence undetermined,"Flames showing from small area (one storey or less, part of a vehicle, outdoor)",2018-03-20T08:50:15,2018-03-20T08:55:11,No System
516,Cooking Area or Kitchen,Not applicable (not a business),0,0,200,0,2018-03-20T09:32:45,Confined to object of origin,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2018-03-20T09:27:01,"Stove, Range-top burner",225,20.0,2018-03-20T10:01:45,43.69699828,-79.28539951,Undetermined (formerly 98),Extinguished by occupant,"Other unintentional cause, not classified",Multi-Unit Dwelling - Over 12 Units,Not applicable: Alarm operated OR presence/operation undetermined,Type undetermined,Fire extinguished prior to arrival,2018-03-20T09:23:11,2018-03-20T09:27:00,Present
517,Concealed Ceiling Area,Undetermined,0,0,100000,4,2018-03-21T00:14:00,Confined to part of room/area of origin,Not applicable: Occupant(s) first alerted by other means,Fire alarm system operated,2018-03-21T00:32:00,Other Electrical,225,20.0,2018-03-21T01:48:50,43.69281599,-79.28118908,Interior Wall/Ceiling,Extinguished by fire department,Electrical Failure,Attached Dwelling with Business,Not applicable: Alarm operated OR presence/operation undetermined,Battery operated,Fire with no evidence from street,2018-03-20T23:23:56,2018-03-20T23:29:16,Present
518,Cooking Area or Kitchen,No business interruption,0,0,5000,0,2018-03-21T17:39:00,Confined to part of room/area of origin,Not applicable: Occupant(s) first alerted by other means,Not applicable (no system),2018-03-21T17:40:00,"Stove, Range-top burner",132,8.0,2018-03-21T18:11:29,43.71892085,-79.41602256,Cabinetry,Extinguished by fire department,Improper handling of ignition source or ignited material,Detached Dwelling,Not applicable: Alarm operated OR presence/operation undetermined,Battery operated,Fire with no evidence from street,2018-03-21T17:33:11,2018-03-21T17:37:51,Not applicable
519,Porch or Balcony,No business interruption,0,0,20000,0,2018-03-22T12:05:56,Confined to part of room/area of origin,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2018-03-22T12:08:45,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",213,23.0,2018-03-22T12:50:04,43.79151179,-79.23782334,Multiple diverse objects ignited,Extinguished by fire department,Improperly Discarded,Multi-Unit Dwelling - Over 12 Units,Not applicable: Alarm operated OR presence/operation undetermined,Hardwired (standalone),"Flames showing from small area (one storey or less, part of a vehicle, outdoor)",2018-03-22T11:54:59,2018-03-22T11:59:20,Present
520,"Trash, Rubbish Storage (inc garbage chute room, garbage/industri",No business interruption,0,0,0,0,2018-01-29T19:19:49,Confined to part of room/area of origin,All persons (at risk of injury) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2018-01-29T19:19:49,Undetermined,442,5.0,2018-01-29T19:48:38,43.69955334,-79.50289397,"Rubbish, Trash, Waste",Extinguished by automatic system,Undetermined,Multi-Unit Dwelling - Over 12 Units,Not applicable: Alarm operated OR presence/operation undetermined,Interconnected,Fire extinguished prior to arrival,2018-01-29T19:15:18,2018-01-29T19:19:48,Present
521,Cooking Area or Kitchen,Not applicable (not a business),0,0,25000,1,2018-01-29T19:15:25,Confined to part of room/area of origin,Undetermined,Fire alarm system operated,2018-01-29T19:19:00,"Stove, Range-top burner",134,15.0,2018-01-29T20:38:53,43.71260605,-79.39177927,"Fabric - Natural (eg. cotton, wool, etc.)",Extinguished by fire department,Improper handling of ignition source or ignited material,Multi-Unit Dwelling - Over 12 Units,Other reason,Battery operated,Fire with no evidence from street,2018-01-29T19:01:23,2018-01-29T19:06:54,Present
522,Concealed Ceiling Area,Not applicable (not a business),1,0,25000,6,2018-01-29T17:46:22,Confined to part of room/area of origin,Not applicable: Occupant(s) first alerted by other means,Fire alarm system did not operate,2018-01-29T17:44:22,Cutting/Welding Equipment,113,17.0,2018-01-29T19:49:31,43.78672669,-79.36064628,Insulation,Extinguished by occupant,Design/Construction/Installation/Maintenance Deficiency,Semi-Detached Dwelling,Other reason,Not applicable - no smoke alarm or presence undetermined,Fire extinguished prior to arrival,2018-01-29T17:38:12,2018-01-29T17:44:22,Undetermined
523,Cooking Area or Kitchen,No business interruption,0,0,15000,2,2018-01-29T14:30:00,Confined to part of room/area of origin,No one (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2018-01-29T14:31:00,Matches or Lighters (unable to distinguish),145,6.0,2018-01-29T22:19:40,43.73334968,-79.48242458,"Rubbish, Trash, Waste",Extinguished by fire department,Used for purpose not intended,Multi-Unit Dwelling - 2 to 6 Units,No battery,Battery operated,"Fire with smoke showing only - including vehicle, outdoor fires",2018-01-29T14:18:34,2018-01-29T14:24:29,Present
524,Cooking Area or Kitchen,No business interruption,0,0,10000,5,2018-01-31T08:10:09,Confined to part of room/area of origin,Not applicable: Occupant(s) first alerted by other means,Fire alarm system operated,2018-01-31T08:14:26,"Stove, Range-top burner",322,14.0,2018-01-31T08:53:21,43.69840079,-79.33823539,"Cooking Oil, Grease",Fire self extinguished,"Other unintentional cause, not classified",Multi-Unit Dwelling - Over 12 Units,Not applicable: Alarm operated OR presence/operation undetermined,Battery operated,Fire with no evidence from street,2018-01-31T07:55:33,2018-01-31T08:01:12,Present
525,Cooking Area or Kitchen,Not applicable (not a business),0,0,2000,0,2018-01-29T08:09:06,Confined to part of room/area of origin,No one (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2018-01-29T08:09:06,"Stove, Range-top burner",142,7.0,2018-01-29T08:31:22,43.75418814,-79.51371439,"Cooking Oil, Grease",Extinguished by occupant,Unattended,Detached Dwelling,Not applicable: Alarm operated OR presence/operation undetermined,Interconnected,Fire extinguished prior to arrival,2018-01-29T08:04:57,2018-01-29T08:09:05,Present
526,"Living Area (e.g. living, TV, recreation, etc)",Undetermined,0,0,10000,2,2018-01-31T16:34:00,Confined to part of room/area of origin,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2018-01-31T16:36:26,Candle,233,21.0,2018-01-31T21:54:35,43.74264412,-79.30740611,Undetermined (formerly 98),Extinguished by fire department,Unattended,Multi-Unit Dwelling - Over 12 Units,Not applicable: Alarm operated OR presence/operation undetermined,Not applicable - no smoke alarm or presence undetermined,"Fire with smoke showing only - including vehicle, outdoor fires",2018-01-31T16:25:21,2018-01-31T16:30:42,Present
